dealer_no,display_name,drive_folder_name,match_status
107896,Perfection Heating and Air Conditioning,Perfection Heating and Air Conditioning,EXACT
105069,"Plumbers Mechanical Group, LLC",(MISSING),MISSING
10362005,"Premier Services Group, Inc",(MISSING),MISSING
10391022,Prevent Services,Prevent Services,EXACT
10435019,Priority One Heating and Cooling,Priority One Heating and Cooling,EXACT
10020428,Putnam Service,(MISSING),MISSING
2589,R and P Heating and Cooling,R and P Heating and Cooling,EXACT
103189,Robertson's Heating and Electrical LLC,(MISSING),MISSING
10122026,Ron's Heating and Cooling,(MISSING),MISSING
10316008,Santos Mechanical LLC,Santos Mechanical LLC,EXACT
10019315,"Scott Plumbing & Heating Co, INC",(MISSING),MISSING
10468000,Sgt. Paul Heat and Air Conditioning,Sgt. Paul Heat and Air Conditioning,EXACT
108325,Simply Comfortable Heating and Cooling,Simply Comfortable Heating and Cooling,EXACT
10467010,Smart Air LLC,Smart Air LLC,EXACT
10129027,Sonnyreena Mechanical AC and Heat Repair,(MISSING),MISSING
1423,"Standard Plumbing, Heating, and AC",(MISSING),MISSING
102238,Stephany Heating and Air Conditioning LLC.,Stephany Heating and Air Conditioning LLC.,EXACT
108786,Stocker Heating and Cooling,Stocker Heating and Cooling,EXACT
10136004,Texcellent Heating & Cooling,(MISSING),MISSING
10321006,Titan Heating and Air,Titan Heating and Air,EXACT
10289053,Total Comfort Air Solutions,(MISSING),MISSING
10269000,Tri City Heating and Air,Tri City Heating and Air,EXACT
10445046,Trotter Air Services,(MISSING),MISSING
10326035,Turner Refrigeration LLC,Turner Refrigeration LLC,EXACT
6575,Unique Heating and Cooling,Unique Heating and Cooling,EXACT
10020507,Universal Climate Control,(MISSING),MISSING
10141004,"Whetzel’s Heating and Air, LLC",(MISSING),MISSING
10251015,Wiesbrook Sheet Metal,Wiesbrook Sheet Metal,EXACT
10327059,Williamson's AC Contracting,(MISSING),MISSING
